pack_number,zip,pack_name,family,class,subclass,specialization,monster,boss,support_npc,weather,sun_variant,glb_modules,texture_upgrades_png,audio_wav,patch_json_files,target_glb_refs,target_texture_refs,size_bytes
923,923_full_encounter_polish_upgrade_923_the_packmaster.zip,Full Encounter Polish Upgrade 923 - The Packmaster,full_encounter_polish,The Packmaster,Hound-Rider,Pack Mentality,The Grid-Rushers,The Ascendant Colossus,Orion the Vanguard,acid rain,Storm Violet Sun,6,10,2,9,28,24,83891
924,924_monster_special_attacks_random_skin_magic_924_the_orbital_striker.zip,Monster Special Attacks + Random Skin Magic 924 - The Orbital Striker,monster_special_skin_magic,The Orbital Striker,Zero-G Brawler,Singularity Tether,The Gnarl-Maws,The Data-Forged Evolvarch,Director Vance,zero-g starwind,Toxic Green Eclipse,6,10,2,9,28,24,69658
925,925_boss_phase_magic_wipe_tell_upgrades_925_the_scrap_tek.zip,Boss Phase Magic + Wipe-Tell Upgrades 925 - The Scrap Tek,boss_phase_magic,The Scrap-Tek,Field-Mechanic,Overcharge,The Scrap-Phalanx,The Syndicate Lich,The Iron Warden,black-sun anomaly,Deep Blue Lunar Sun,6,10,2,9,28,24,83544
926,926_player_class_ability_fx_talent_tree_upgrades_926_the_kinetic_juggernaut.zip,Player Class Ability FX + Talent Tree Upgrades 926 - The Kinetic Juggernaut,player_class_ability_fx,The Kinetic Juggernaut,Seismic Brawler,Aggro Manipulation,The Siphon-Ticks,The Astral Sovereign,Elder Kaelen,aurora rain,Black-Sun Rimlight,6,10,2,9,28,24,83457
927,927_support_npc_special_attack_assist_upgrades_927_the_phantom_shift.zip,Support NPC Special Attack + Assist Upgrades 927 - The Phantom Shift,support_npc_specials,The Phantom-Shift,Glass-Cannon,Momentum Drift,The Aegis Carapace,The Ivory Behemoth,Commander Solis,heat shimmer,Aurora Cyan Sun,6,10,2,9,28,24,60907
928,928_high_tier_magic_weapon_upgrade_pack_928_the_sylvan_warden.zip,High-Tier Magic Weapon Upgrade Pack 928 - The Sylvan Warden,high_tier_magic_weapons,The Sylvan Warden,Root-Binder,Thorns & Tethers,The Iron-Jaw Hound,The Resonant Behemoth,The Chord Weaver,deep-water gloom,Clear Dawn Sun,6,10,2,9,28,24,84155
929,929_high_tier_magic_armor_upgrade_pack_929_the_flux_caster.zip,High-Tier Magic Armor Upgrade Pack 929 - The Flux Caster,high_tier_magic_armor,The Flux-Caster,Aether-Blade,Superconduct,The Venom-Spitter,The Resonance Maestro,Spark,crystal fog,Hard Noon White Sun,6,10,2,9,28,24,83467
930,930_combat_flow_smoothness_dynamic_camera_930_the_protocol_weaver.zip,Combat Flow Smoothness + Dynamic Camera 930 - The Protocol Weaver,combat_flow_camera,The Protocol Weaver,Front-Matter Architect,Reality Tearing,The Tremor-Fiend,The Apex Chimera,The Fragmented Core,clear dawn,Ash Orange Sun,6,10,2,9,28,24,70066
931,931_weather_sun_color_terrain_upgrade_931_the_apex_mutator.zip,Weather + Sun Color + Terrain Upgrade 931 - The Apex Mutator,weather_sun_terrain,The Apex Mutator,Primal Catalyst,Feral Regeneration,The Nexus Swarmers,The Null Anomaly,The Grand Archivist,gold noon,Storm Violet Sun,6,10,2,9,28,24,79063
932,932_nature_terrain_element_upgrade_932_the_resonant.zip,Nature + Terrain Element Upgrade 932 - The Resonant,nature_terrain_elements,The Resonant,Sub-Bass Architect,Acoustic Shielding,Nexus Warden,The Ascendant Colossus,Kael the Cadet,orange dusk,Toxic Green Eclipse,6,10,2,9,28,24,78044
933,933_character_appearance_quality_upgrade_933_the_packmaster.zip,Character Appearance Quality Upgrade 933 - The Packmaster,character_appearance_quality,The Packmaster,Feral Vanguard,Territorial Divide,The Scrap-Stalker,The Data-Forged Evolvarch,Riff the Ascetic,violet stormfront,Deep Blue Lunar Sun,6,10,2,9,28,24,84012
934,934_monster_spawn_skin_randomizer_upgrade_934_the_orbital_striker.zip,Monster Spawn Skin Randomizer Upgrade 934 - The Orbital Striker,monster_spawn_randomizer,The Orbital Striker,Grav-Architect,Satellite Painting,The Sylvan Juggernaut,The Syndicate Lich,Silas the Houndmaster,green eclipse,Black-Sun Rimlight,6,10,2,9,28,24,70028
