skin_id,monster_family,weight,spawn_rule
the_grid_rushers_bark_crowned_cosmic_00,The Grid-Rushers,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_echo_split_transit_01,The Grid-Rushers,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_null_branded_deep-water_02,The Grid-Rushers,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_grav_torn_archive_03,The Grid-Rushers,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_tide_broken_festival_04,The Grid-Rushers,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_magnetized_quarantine_05,The Grid-Rushers,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_sonic_scarred_void_06,The Grid-Rushers,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_glass_hardened_storm_07,The Grid-Rushers,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_spore_sick_urban_08,The Grid-Rushers,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_chrome_maw_wilds_09,The Grid-Rushers,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_ash_baptized_waste_10,The Grid-Rushers,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_overcharged_geothermal_11,The Grid-Rushers,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_bark_crowned_cosmic_12,The Grid-Rushers,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_echo_split_transit_13,The Grid-Rushers,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_null_branded_deep-water_14,The Grid-Rushers,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_grav_torn_archive_15,The Grid-Rushers,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_tide_broken_festival_16,The Grid-Rushers,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_magnetized_quarantine_17,The Grid-Rushers,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_sonic_scarred_void_18,The Grid-Rushers,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_glass_hardened_storm_19,The Grid-Rushers,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_spore_sick_urban_20,The Grid-Rushers,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_chrome_maw_wilds_21,The Grid-Rushers,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_ash_baptized_waste_22,The Grid-Rushers,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_overcharged_geothermal_23,The Grid-Rushers,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_bark_crowned_cosmic_24,The Grid-Rushers,8,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_echo_split_transit_25,The Grid-Rushers,8,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_null_branded_deep-water_26,The Grid-Rushers,8,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_grav_torn_archive_27,The Grid-Rushers,7,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_tide_broken_festival_28,The Grid-Rushers,7,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_magnetized_quarantine_29,The Grid-Rushers,7,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_sonic_scarred_void_30,The Grid-Rushers,6,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_glass_hardened_storm_31,The Grid-Rushers,6,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_spore_sick_urban_32,The Grid-Rushers,6,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_chrome_maw_wilds_33,The Grid-Rushers,5,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_ash_baptized_waste_34,The Grid-Rushers,5,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_overcharged_geothermal_35,The Grid-Rushers,5,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
