skin_id,monster_family,weight,spawn_rule
the_nexus_swarmers_glass_hardened_deep-water_00,The Nexus Swarmers,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_spore_sick_archive_01,The Nexus Swarmers,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_chrome_maw_festival_02,The Nexus Swarmers,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_ash_baptized_quarantine_03,The Nexus Swarmers,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_overcharged_void_04,The Nexus Swarmers,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_bark_crowned_storm_05,The Nexus Swarmers,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_echo_split_urban_06,The Nexus Swarmers,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_null_branded_wilds_07,The Nexus Swarmers,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_grav_torn_waste_08,The Nexus Swarmers,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_tide_broken_geothermal_09,The Nexus Swarmers,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_magnetized_cosmic_10,The Nexus Swarmers,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_sonic_scarred_transit_11,The Nexus Swarmers,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_glass_hardened_deep-water_12,The Nexus Swarmers,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_spore_sick_archive_13,The Nexus Swarmers,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_chrome_maw_festival_14,The Nexus Swarmers,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_ash_baptized_quarantine_15,The Nexus Swarmers,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_overcharged_void_16,The Nexus Swarmers,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_bark_crowned_storm_17,The Nexus Swarmers,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_echo_split_urban_18,The Nexus Swarmers,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_null_branded_wilds_19,The Nexus Swarmers,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_grav_torn_waste_20,The Nexus Swarmers,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_tide_broken_geothermal_21,The Nexus Swarmers,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_magnetized_cosmic_22,The Nexus Swarmers,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_sonic_scarred_transit_23,The Nexus Swarmers,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_glass_hardened_deep-water_24,The Nexus Swarmers,8,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_spore_sick_archive_25,The Nexus Swarmers,8,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_chrome_maw_festival_26,The Nexus Swarmers,8,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_ash_baptized_quarantine_27,The Nexus Swarmers,7,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_overcharged_void_28,The Nexus Swarmers,7,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_bark_crowned_storm_29,The Nexus Swarmers,7,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_echo_split_urban_30,The Nexus Swarmers,6,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_null_branded_wilds_31,The Nexus Swarmers,6,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_grav_torn_waste_32,The Nexus Swarmers,6,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_tide_broken_geothermal_33,The Nexus Swarmers,5,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_magnetized_cosmic_34,The Nexus Swarmers,5,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_sonic_scarred_transit_35,The Nexus Swarmers,5,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
