skin_id,monster_family,weight,spawn_rule
the_nexus_swarmers_bark_crowned_cosmic_00,The Nexus Swarmers,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_echo_split_transit_01,The Nexus Swarmers,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_null_branded_deep-water_02,The Nexus Swarmers,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_grav_torn_archive_03,The Nexus Swarmers,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_tide_broken_festival_04,The Nexus Swarmers,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_magnetized_quarantine_05,The Nexus Swarmers,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_sonic_scarred_void_06,The Nexus Swarmers,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_glass_hardened_storm_07,The Nexus Swarmers,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_spore_sick_urban_08,The Nexus Swarmers,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_chrome_maw_wilds_09,The Nexus Swarmers,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_ash_baptized_waste_10,The Nexus Swarmers,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_overcharged_geothermal_11,The Nexus Swarmers,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_bark_crowned_cosmic_12,The Nexus Swarmers,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_echo_split_transit_13,The Nexus Swarmers,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_null_branded_deep-water_14,The Nexus Swarmers,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_grav_torn_archive_15,The Nexus Swarmers,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_tide_broken_festival_16,The Nexus Swarmers,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_magnetized_quarantine_17,The Nexus Swarmers,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_sonic_scarred_void_18,The Nexus Swarmers,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_glass_hardened_storm_19,The Nexus Swarmers,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_spore_sick_urban_20,The Nexus Swarmers,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_chrome_maw_wilds_21,The Nexus Swarmers,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_ash_baptized_waste_22,The Nexus Swarmers,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_overcharged_geothermal_23,The Nexus Swarmers,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_bark_crowned_cosmic_24,The Nexus Swarmers,8,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_echo_split_transit_25,The Nexus Swarmers,8,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_null_branded_deep-water_26,The Nexus Swarmers,8,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_grav_torn_archive_27,The Nexus Swarmers,7,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_tide_broken_festival_28,The Nexus Swarmers,7,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_magnetized_quarantine_29,The Nexus Swarmers,7,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_sonic_scarred_void_30,The Nexus Swarmers,6,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_glass_hardened_storm_31,The Nexus Swarmers,6,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
