skin_id,monster_family,weight,spawn_rule
the_venom_spitter_spore_sick_festival_00,The Venom-Spitter,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_chrome_maw_quarantine_01,The Venom-Spitter,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_ash_baptized_void_02,The Venom-Spitter,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_overcharged_storm_03,The Venom-Spitter,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_bark_crowned_urban_04,The Venom-Spitter,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_echo_split_wilds_05,The Venom-Spitter,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_null_branded_waste_06,The Venom-Spitter,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_grav_torn_geothermal_07,The Venom-Spitter,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_tide_broken_cosmic_08,The Venom-Spitter,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_magnetized_transit_09,The Venom-Spitter,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_sonic_scarred_deep-water_10,The Venom-Spitter,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_glass_hardened_archive_11,The Venom-Spitter,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_spore_sick_festival_12,The Venom-Spitter,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_chrome_maw_quarantine_13,The Venom-Spitter,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_ash_baptized_void_14,The Venom-Spitter,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_overcharged_storm_15,The Venom-Spitter,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_bark_crowned_urban_16,The Venom-Spitter,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_echo_split_wilds_17,The Venom-Spitter,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_null_branded_waste_18,The Venom-Spitter,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_grav_torn_geothermal_19,The Venom-Spitter,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_tide_broken_cosmic_20,The Venom-Spitter,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_magnetized_transit_21,The Venom-Spitter,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_sonic_scarred_deep-water_22,The Venom-Spitter,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_glass_hardened_archive_23,The Venom-Spitter,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_spore_sick_festival_24,The Venom-Spitter,8,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_chrome_maw_quarantine_25,The Venom-Spitter,8,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_ash_baptized_void_26,The Venom-Spitter,8,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_overcharged_storm_27,The Venom-Spitter,7,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_bark_crowned_urban_28,The Venom-Spitter,7,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_echo_split_wilds_29,The Venom-Spitter,7,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_null_branded_waste_30,The Venom-Spitter,6,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_grav_torn_geothermal_31,The Venom-Spitter,6,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_tide_broken_cosmic_32,The Venom-Spitter,6,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_magnetized_transit_33,The Venom-Spitter,5,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_sonic_scarred_deep-water_34,The Venom-Spitter,5,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_glass_hardened_archive_35,The Venom-Spitter,5,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
