skin_id,monster_family,weight,spawn_rule
nexus_warden_overcharged_waste_00,Nexus Warden,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_bark_crowned_geothermal_01,Nexus Warden,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_echo_split_cosmic_02,Nexus Warden,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_null_branded_transit_03,Nexus Warden,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_grav_torn_deep-water_04,Nexus Warden,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_tide_broken_archive_05,Nexus Warden,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_magnetized_festival_06,Nexus Warden,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_sonic_scarred_quarantine_07,Nexus Warden,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_glass_hardened_void_08,Nexus Warden,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_spore_sick_storm_09,Nexus Warden,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_chrome_maw_urban_10,Nexus Warden,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_ash_baptized_wilds_11,Nexus Warden,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_overcharged_waste_12,Nexus Warden,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_bark_crowned_geothermal_13,Nexus Warden,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_echo_split_cosmic_14,Nexus Warden,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_null_branded_transit_15,Nexus Warden,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_grav_torn_deep-water_16,Nexus Warden,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_tide_broken_archive_17,Nexus Warden,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_magnetized_festival_18,Nexus Warden,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_sonic_scarred_quarantine_19,Nexus Warden,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_glass_hardened_void_20,Nexus Warden,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_spore_sick_storm_21,Nexus Warden,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_chrome_maw_urban_22,Nexus Warden,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_ash_baptized_wilds_23,Nexus Warden,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_overcharged_waste_24,Nexus Warden,8,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_bark_crowned_geothermal_25,Nexus Warden,8,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_echo_split_cosmic_26,Nexus Warden,8,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_null_branded_transit_27,Nexus Warden,7,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_grav_torn_deep-water_28,Nexus Warden,7,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_tide_broken_archive_29,Nexus Warden,7,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_magnetized_festival_30,Nexus Warden,6,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_sonic_scarred_quarantine_31,Nexus Warden,6,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_glass_hardened_void_32,Nexus Warden,6,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_spore_sick_storm_33,Nexus Warden,5,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_chrome_maw_urban_34,Nexus Warden,5,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_ash_baptized_wilds_35,Nexus Warden,5,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
