skin_id,monster_family,weight,spawn_rule
the_iron_jaw_hound_grav_torn_void_00,The Iron-Jaw Hound,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_iron_jaw_hound_tide_broken_storm_01,The Iron-Jaw Hound,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_iron_jaw_hound_magnetized_urban_02,The Iron-Jaw Hound,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_iron_jaw_hound_sonic_scarred_wilds_03,The Iron-Jaw Hound,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_iron_jaw_hound_glass_hardened_waste_04,The Iron-Jaw Hound,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_iron_jaw_hound_spore_sick_geothermal_05,The Iron-Jaw Hound,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_iron_jaw_hound_chrome_maw_cosmic_06,The Iron-Jaw Hound,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_iron_jaw_hound_ash_baptized_transit_07,The Iron-Jaw Hound,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_iron_jaw_hound_overcharged_deep-water_08,The Iron-Jaw Hound,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_iron_jaw_hound_bark_crowned_archive_09,The Iron-Jaw Hound,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_iron_jaw_hound_echo_split_festival_10,The Iron-Jaw Hound,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_iron_jaw_hound_null_branded_quarantine_11,The Iron-Jaw Hound,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_iron_jaw_hound_grav_torn_void_12,The Iron-Jaw Hound,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_iron_jaw_hound_tide_broken_storm_13,The Iron-Jaw Hound,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_iron_jaw_hound_magnetized_urban_14,The Iron-Jaw Hound,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_iron_jaw_hound_sonic_scarred_wilds_15,The Iron-Jaw Hound,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
