skin_id,monster_family,weight,spawn_rule
the_aegis_carapace_glass_hardened_deep-water_00,The Aegis Carapace,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_spore_sick_archive_01,The Aegis Carapace,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_chrome_maw_festival_02,The Aegis Carapace,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_ash_baptized_quarantine_03,The Aegis Carapace,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_overcharged_void_04,The Aegis Carapace,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_bark_crowned_storm_05,The Aegis Carapace,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_echo_split_urban_06,The Aegis Carapace,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_null_branded_wilds_07,The Aegis Carapace,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_grav_torn_waste_08,The Aegis Carapace,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_tide_broken_geothermal_09,The Aegis Carapace,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_magnetized_cosmic_10,The Aegis Carapace,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_sonic_scarred_transit_11,The Aegis Carapace,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_glass_hardened_deep-water_12,The Aegis Carapace,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_spore_sick_archive_13,The Aegis Carapace,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_chrome_maw_festival_14,The Aegis Carapace,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_ash_baptized_quarantine_15,The Aegis Carapace,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_overcharged_void_16,The Aegis Carapace,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_bark_crowned_storm_17,The Aegis Carapace,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_echo_split_urban_18,The Aegis Carapace,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_null_branded_wilds_19,The Aegis Carapace,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_grav_torn_waste_20,The Aegis Carapace,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_tide_broken_geothermal_21,The Aegis Carapace,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_magnetized_cosmic_22,The Aegis Carapace,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_sonic_scarred_transit_23,The Aegis Carapace,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_glass_hardened_deep-water_24,The Aegis Carapace,8,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_spore_sick_archive_25,The Aegis Carapace,8,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_chrome_maw_festival_26,The Aegis Carapace,8,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_ash_baptized_quarantine_27,The Aegis Carapace,7,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_overcharged_void_28,The Aegis Carapace,7,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_bark_crowned_storm_29,The Aegis Carapace,7,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_echo_split_urban_30,The Aegis Carapace,6,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_null_branded_wilds_31,The Aegis Carapace,6,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_grav_torn_waste_32,The Aegis Carapace,6,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_tide_broken_geothermal_33,The Aegis Carapace,5,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_magnetized_cosmic_34,The Aegis Carapace,5,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_sonic_scarred_transit_35,The Aegis Carapace,5,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
