skin_id,monster_family,weight,spawn_rule
the_gnarl_maws_chrome_maw_void_00,The Gnarl-Maws,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_gnarl_maws_ash_baptized_storm_01,The Gnarl-Maws,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_gnarl_maws_overcharged_urban_02,The Gnarl-Maws,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_gnarl_maws_bark_crowned_wilds_03,The Gnarl-Maws,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_gnarl_maws_echo_split_waste_04,The Gnarl-Maws,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_gnarl_maws_null_branded_geothermal_05,The Gnarl-Maws,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_gnarl_maws_grav_torn_cosmic_06,The Gnarl-Maws,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_gnarl_maws_tide_broken_transit_07,The Gnarl-Maws,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_gnarl_maws_magnetized_deep-water_08,The Gnarl-Maws,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_gnarl_maws_sonic_scarred_archive_09,The Gnarl-Maws,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_gnarl_maws_glass_hardened_festival_10,The Gnarl-Maws,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_gnarl_maws_spore_sick_quarantine_11,The Gnarl-Maws,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_gnarl_maws_chrome_maw_void_12,The Gnarl-Maws,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_gnarl_maws_ash_baptized_storm_13,The Gnarl-Maws,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_gnarl_maws_overcharged_urban_14,The Gnarl-Maws,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
