skin_id,monster_family,weight,spawn_rule
the_void_anomaly_sonic_scarred_cosmic_00,The Void Anomaly,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_glass_hardened_transit_01,The Void Anomaly,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_spore_sick_deep-water_02,The Void Anomaly,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_chrome_maw_archive_03,The Void Anomaly,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_ash_baptized_festival_04,The Void Anomaly,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_overcharged_quarantine_05,The Void Anomaly,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_bark_crowned_void_06,The Void Anomaly,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_echo_split_storm_07,The Void Anomaly,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_null_branded_urban_08,The Void Anomaly,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_grav_torn_wilds_09,The Void Anomaly,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_tide_broken_waste_10,The Void Anomaly,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_magnetized_geothermal_11,The Void Anomaly,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_sonic_scarred_cosmic_12,The Void Anomaly,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_glass_hardened_transit_13,The Void Anomaly,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_spore_sick_deep-water_14,The Void Anomaly,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_chrome_maw_archive_15,The Void Anomaly,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_ash_baptized_festival_16,The Void Anomaly,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_overcharged_quarantine_17,The Void Anomaly,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_bark_crowned_void_18,The Void Anomaly,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_echo_split_storm_19,The Void Anomaly,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_null_branded_urban_20,The Void Anomaly,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_grav_torn_wilds_21,The Void Anomaly,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_tide_broken_waste_22,The Void Anomaly,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_magnetized_geothermal_23,The Void Anomaly,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_sonic_scarred_cosmic_24,The Void Anomaly,8,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_glass_hardened_transit_25,The Void Anomaly,8,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_spore_sick_deep-water_26,The Void Anomaly,8,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_chrome_maw_archive_27,The Void Anomaly,7,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_ash_baptized_festival_28,The Void Anomaly,7,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_overcharged_quarantine_29,The Void Anomaly,7,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_bark_crowned_void_30,The Void Anomaly,6,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_echo_split_storm_31,The Void Anomaly,6,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_null_branded_urban_32,The Void Anomaly,6,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_grav_torn_wilds_33,The Void Anomaly,5,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_tide_broken_waste_34,The Void Anomaly,5,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_magnetized_geothermal_35,The Void Anomaly,5,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
