skin_id,monster_family,weight,spawn_rule
the_scrap_phalanx_spore_sick_festival_00,The Scrap-Phalanx,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_phalanx_chrome_maw_quarantine_01,The Scrap-Phalanx,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_phalanx_ash_baptized_void_02,The Scrap-Phalanx,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_phalanx_overcharged_storm_03,The Scrap-Phalanx,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_phalanx_bark_crowned_urban_04,The Scrap-Phalanx,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_phalanx_echo_split_wilds_05,The Scrap-Phalanx,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_phalanx_null_branded_waste_06,The Scrap-Phalanx,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_phalanx_grav_torn_geothermal_07,The Scrap-Phalanx,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_phalanx_tide_broken_cosmic_08,The Scrap-Phalanx,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_phalanx_magnetized_transit_09,The Scrap-Phalanx,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_phalanx_sonic_scarred_deep-water_10,The Scrap-Phalanx,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_phalanx_glass_hardened_archive_11,The Scrap-Phalanx,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_phalanx_spore_sick_festival_12,The Scrap-Phalanx,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_phalanx_chrome_maw_quarantine_13,The Scrap-Phalanx,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_phalanx_ash_baptized_void_14,The Scrap-Phalanx,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_phalanx_overcharged_storm_15,The Scrap-Phalanx,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_phalanx_bark_crowned_urban_16,The Scrap-Phalanx,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_phalanx_echo_split_wilds_17,The Scrap-Phalanx,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
