skin_id,monster_family,weight,spawn_rule
the_void_anomaly_overcharged_waste_00,The Void Anomaly,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_bark_crowned_geothermal_01,The Void Anomaly,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_echo_split_cosmic_02,The Void Anomaly,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_null_branded_transit_03,The Void Anomaly,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_grav_torn_deep-water_04,The Void Anomaly,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_tide_broken_archive_05,The Void Anomaly,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_magnetized_festival_06,The Void Anomaly,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_sonic_scarred_quarantine_07,The Void Anomaly,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_glass_hardened_void_08,The Void Anomaly,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_spore_sick_storm_09,The Void Anomaly,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_chrome_maw_urban_10,The Void Anomaly,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_ash_baptized_wilds_11,The Void Anomaly,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_overcharged_waste_12,The Void Anomaly,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_bark_crowned_geothermal_13,The Void Anomaly,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_echo_split_cosmic_14,The Void Anomaly,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_null_branded_transit_15,The Void Anomaly,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_grav_torn_deep-water_16,The Void Anomaly,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_tide_broken_archive_17,The Void Anomaly,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_magnetized_festival_18,The Void Anomaly,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_sonic_scarred_quarantine_19,The Void Anomaly,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_glass_hardened_void_20,The Void Anomaly,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_spore_sick_storm_21,The Void Anomaly,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_chrome_maw_urban_22,The Void Anomaly,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_ash_baptized_wilds_23,The Void Anomaly,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_overcharged_waste_24,The Void Anomaly,8,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_bark_crowned_geothermal_25,The Void Anomaly,8,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_echo_split_cosmic_26,The Void Anomaly,8,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_null_branded_transit_27,The Void Anomaly,7,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_grav_torn_deep-water_28,The Void Anomaly,7,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_tide_broken_archive_29,The Void Anomaly,7,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_magnetized_festival_30,The Void Anomaly,6,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_sonic_scarred_quarantine_31,The Void Anomaly,6,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_glass_hardened_void_32,The Void Anomaly,6,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_spore_sick_storm_33,The Void Anomaly,5,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_chrome_maw_urban_34,The Void Anomaly,5,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_ash_baptized_wilds_35,The Void Anomaly,5,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
