skin_id,monster_family,weight,spawn_rule
the_grid_rushers_spore_sick_festival_00,The Grid-Rushers,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_chrome_maw_quarantine_01,The Grid-Rushers,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_ash_baptized_void_02,The Grid-Rushers,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_overcharged_storm_03,The Grid-Rushers,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_bark_crowned_urban_04,The Grid-Rushers,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_echo_split_wilds_05,The Grid-Rushers,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_null_branded_waste_06,The Grid-Rushers,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_grav_torn_geothermal_07,The Grid-Rushers,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_tide_broken_cosmic_08,The Grid-Rushers,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_magnetized_transit_09,The Grid-Rushers,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_sonic_scarred_deep-water_10,The Grid-Rushers,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_glass_hardened_archive_11,The Grid-Rushers,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_spore_sick_festival_12,The Grid-Rushers,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_chrome_maw_quarantine_13,The Grid-Rushers,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_ash_baptized_void_14,The Grid-Rushers,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_overcharged_storm_15,The Grid-Rushers,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_bark_crowned_urban_16,The Grid-Rushers,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_echo_split_wilds_17,The Grid-Rushers,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_null_branded_waste_18,The Grid-Rushers,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_grav_torn_geothermal_19,The Grid-Rushers,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_tide_broken_cosmic_20,The Grid-Rushers,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_magnetized_transit_21,The Grid-Rushers,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_sonic_scarred_deep-water_22,The Grid-Rushers,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_glass_hardened_archive_23,The Grid-Rushers,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_spore_sick_festival_24,The Grid-Rushers,8,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_chrome_maw_quarantine_25,The Grid-Rushers,8,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_ash_baptized_void_26,The Grid-Rushers,8,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_overcharged_storm_27,The Grid-Rushers,7,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_bark_crowned_urban_28,The Grid-Rushers,7,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_echo_split_wilds_29,The Grid-Rushers,7,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_null_branded_waste_30,The Grid-Rushers,6,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_grav_torn_geothermal_31,The Grid-Rushers,6,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_tide_broken_cosmic_32,The Grid-Rushers,6,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_magnetized_transit_33,The Grid-Rushers,5,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_sonic_scarred_deep-water_34,The Grid-Rushers,5,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_glass_hardened_archive_35,The Grid-Rushers,5,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
