skin_id,monster_family,weight,spawn_rule
nexus_warden_bark_crowned_cosmic_00,Nexus Warden,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_echo_split_transit_01,Nexus Warden,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_null_branded_deep-water_02,Nexus Warden,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_grav_torn_archive_03,Nexus Warden,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_tide_broken_festival_04,Nexus Warden,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_magnetized_quarantine_05,Nexus Warden,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_sonic_scarred_void_06,Nexus Warden,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_glass_hardened_storm_07,Nexus Warden,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_spore_sick_urban_08,Nexus Warden,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_chrome_maw_wilds_09,Nexus Warden,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_ash_baptized_waste_10,Nexus Warden,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_overcharged_geothermal_11,Nexus Warden,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_bark_crowned_cosmic_12,Nexus Warden,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_echo_split_transit_13,Nexus Warden,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_null_branded_deep-water_14,Nexus Warden,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_grav_torn_archive_15,Nexus Warden,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_tide_broken_festival_16,Nexus Warden,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_magnetized_quarantine_17,Nexus Warden,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_sonic_scarred_void_18,Nexus Warden,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_glass_hardened_storm_19,Nexus Warden,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_spore_sick_urban_20,Nexus Warden,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_chrome_maw_wilds_21,Nexus Warden,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_ash_baptized_waste_22,Nexus Warden,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_overcharged_geothermal_23,Nexus Warden,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_bark_crowned_cosmic_24,Nexus Warden,8,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_echo_split_transit_25,Nexus Warden,8,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_null_branded_deep-water_26,Nexus Warden,8,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_grav_torn_archive_27,Nexus Warden,7,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_tide_broken_festival_28,Nexus Warden,7,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_magnetized_quarantine_29,Nexus Warden,7,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_sonic_scarred_void_30,Nexus Warden,6,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_glass_hardened_storm_31,Nexus Warden,6,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_spore_sick_urban_32,Nexus Warden,6,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_chrome_maw_wilds_33,Nexus Warden,5,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_ash_baptized_waste_34,Nexus Warden,5,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_overcharged_geothermal_35,Nexus Warden,5,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
