skin_id,monster_family,weight,spawn_rule
the_aegis_carapace_ash_baptized_urban_00,The Aegis Carapace,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_overcharged_wilds_01,The Aegis Carapace,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_bark_crowned_waste_02,The Aegis Carapace,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_echo_split_geothermal_03,The Aegis Carapace,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_null_branded_cosmic_04,The Aegis Carapace,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_grav_torn_transit_05,The Aegis Carapace,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_tide_broken_deep-water_06,The Aegis Carapace,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_magnetized_archive_07,The Aegis Carapace,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_sonic_scarred_festival_08,The Aegis Carapace,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_glass_hardened_quarantine_09,The Aegis Carapace,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_spore_sick_void_10,The Aegis Carapace,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_chrome_maw_storm_11,The Aegis Carapace,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_ash_baptized_urban_12,The Aegis Carapace,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_overcharged_wilds_13,The Aegis Carapace,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_bark_crowned_waste_14,The Aegis Carapace,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_echo_split_geothermal_15,The Aegis Carapace,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_null_branded_cosmic_16,The Aegis Carapace,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_grav_torn_transit_17,The Aegis Carapace,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_tide_broken_deep-water_18,The Aegis Carapace,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_magnetized_archive_19,The Aegis Carapace,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_sonic_scarred_festival_20,The Aegis Carapace,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_glass_hardened_quarantine_21,The Aegis Carapace,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_spore_sick_void_22,The Aegis Carapace,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_chrome_maw_storm_23,The Aegis Carapace,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_ash_baptized_urban_24,The Aegis Carapace,8,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_overcharged_wilds_25,The Aegis Carapace,8,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_bark_crowned_waste_26,The Aegis Carapace,8,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_echo_split_geothermal_27,The Aegis Carapace,7,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_null_branded_cosmic_28,The Aegis Carapace,7,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_grav_torn_transit_29,The Aegis Carapace,7,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_tide_broken_deep-water_30,The Aegis Carapace,6,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_magnetized_archive_31,The Aegis Carapace,6,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_sonic_scarred_festival_32,The Aegis Carapace,6,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_glass_hardened_quarantine_33,The Aegis Carapace,5,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_spore_sick_void_34,The Aegis Carapace,5,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_aegis_carapace_chrome_maw_storm_35,The Aegis Carapace,5,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
