skin_id,monster_family,weight,spawn_rule
the_grid_rushers_echo_split_deep-water_00,The Grid-Rushers,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_null_branded_archive_01,The Grid-Rushers,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_grav_torn_festival_02,The Grid-Rushers,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_tide_broken_quarantine_03,The Grid-Rushers,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_magnetized_void_04,The Grid-Rushers,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_sonic_scarred_storm_05,The Grid-Rushers,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_glass_hardened_urban_06,The Grid-Rushers,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_spore_sick_wilds_07,The Grid-Rushers,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_chrome_maw_waste_08,The Grid-Rushers,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_ash_baptized_geothermal_09,The Grid-Rushers,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_overcharged_cosmic_10,The Grid-Rushers,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_bark_crowned_transit_11,The Grid-Rushers,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_echo_split_deep-water_12,The Grid-Rushers,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_null_branded_archive_13,The Grid-Rushers,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_grav_torn_festival_14,The Grid-Rushers,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_tide_broken_quarantine_15,The Grid-Rushers,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_magnetized_void_16,The Grid-Rushers,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_sonic_scarred_storm_17,The Grid-Rushers,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_glass_hardened_urban_18,The Grid-Rushers,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_spore_sick_wilds_19,The Grid-Rushers,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_chrome_maw_waste_20,The Grid-Rushers,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_ash_baptized_geothermal_21,The Grid-Rushers,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_overcharged_cosmic_22,The Grid-Rushers,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_bark_crowned_transit_23,The Grid-Rushers,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_echo_split_deep-water_24,The Grid-Rushers,8,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_null_branded_archive_25,The Grid-Rushers,8,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_grav_torn_festival_26,The Grid-Rushers,8,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_tide_broken_quarantine_27,The Grid-Rushers,7,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_magnetized_void_28,The Grid-Rushers,7,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_sonic_scarred_storm_29,The Grid-Rushers,7,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_glass_hardened_urban_30,The Grid-Rushers,6,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_spore_sick_wilds_31,The Grid-Rushers,6,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_chrome_maw_waste_32,The Grid-Rushers,6,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_ash_baptized_geothermal_33,The Grid-Rushers,5,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_overcharged_cosmic_34,The Grid-Rushers,5,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_grid_rushers_bark_crowned_transit_35,The Grid-Rushers,5,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
