skin_id,monster_family,weight,spawn_rule
the_sylvan_juggernaut_ash_baptized_urban_00,The Sylvan Juggernaut,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_overcharged_wilds_01,The Sylvan Juggernaut,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_bark_crowned_waste_02,The Sylvan Juggernaut,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_echo_split_geothermal_03,The Sylvan Juggernaut,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_null_branded_cosmic_04,The Sylvan Juggernaut,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_grav_torn_transit_05,The Sylvan Juggernaut,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_tide_broken_deep-water_06,The Sylvan Juggernaut,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_magnetized_archive_07,The Sylvan Juggernaut,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_sonic_scarred_festival_08,The Sylvan Juggernaut,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_glass_hardened_quarantine_09,The Sylvan Juggernaut,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_spore_sick_void_10,The Sylvan Juggernaut,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_chrome_maw_storm_11,The Sylvan Juggernaut,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_ash_baptized_urban_12,The Sylvan Juggernaut,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_overcharged_wilds_13,The Sylvan Juggernaut,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_bark_crowned_waste_14,The Sylvan Juggernaut,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_echo_split_geothermal_15,The Sylvan Juggernaut,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_null_branded_cosmic_16,The Sylvan Juggernaut,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_grav_torn_transit_17,The Sylvan Juggernaut,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_tide_broken_deep-water_18,The Sylvan Juggernaut,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_magnetized_archive_19,The Sylvan Juggernaut,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_sonic_scarred_festival_20,The Sylvan Juggernaut,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_glass_hardened_quarantine_21,The Sylvan Juggernaut,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_spore_sick_void_22,The Sylvan Juggernaut,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_chrome_maw_storm_23,The Sylvan Juggernaut,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
