skin_id,monster_family,weight,spawn_rule
nexus_warden_glass_hardened_deep-water_00,Nexus Warden,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_spore_sick_archive_01,Nexus Warden,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_chrome_maw_festival_02,Nexus Warden,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_ash_baptized_quarantine_03,Nexus Warden,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_overcharged_void_04,Nexus Warden,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_bark_crowned_storm_05,Nexus Warden,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_echo_split_urban_06,Nexus Warden,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_null_branded_wilds_07,Nexus Warden,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_grav_torn_waste_08,Nexus Warden,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_tide_broken_geothermal_09,Nexus Warden,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_magnetized_cosmic_10,Nexus Warden,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_sonic_scarred_transit_11,Nexus Warden,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_glass_hardened_deep-water_12,Nexus Warden,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_spore_sick_archive_13,Nexus Warden,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_chrome_maw_festival_14,Nexus Warden,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_ash_baptized_quarantine_15,Nexus Warden,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_overcharged_void_16,Nexus Warden,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_bark_crowned_storm_17,Nexus Warden,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_echo_split_urban_18,Nexus Warden,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_null_branded_wilds_19,Nexus Warden,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_grav_torn_waste_20,Nexus Warden,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_tide_broken_geothermal_21,Nexus Warden,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_magnetized_cosmic_22,Nexus Warden,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_sonic_scarred_transit_23,Nexus Warden,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_glass_hardened_deep-water_24,Nexus Warden,8,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_spore_sick_archive_25,Nexus Warden,8,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_chrome_maw_festival_26,Nexus Warden,8,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_ash_baptized_quarantine_27,Nexus Warden,7,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_overcharged_void_28,Nexus Warden,7,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_bark_crowned_storm_29,Nexus Warden,7,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_echo_split_urban_30,Nexus Warden,6,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_null_branded_wilds_31,Nexus Warden,6,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_grav_torn_waste_32,Nexus Warden,6,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_tide_broken_geothermal_33,Nexus Warden,5,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_magnetized_cosmic_34,Nexus Warden,5,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
nexus_warden_sonic_scarred_transit_35,Nexus Warden,5,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
