skin_id,monster_family,weight,spawn_rule
the_gnarl_maws_echo_split_deep-water_00,The Gnarl-Maws,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_gnarl_maws_null_branded_archive_01,The Gnarl-Maws,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_gnarl_maws_grav_torn_festival_02,The Gnarl-Maws,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_gnarl_maws_tide_broken_quarantine_03,The Gnarl-Maws,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_gnarl_maws_magnetized_void_04,The Gnarl-Maws,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_gnarl_maws_sonic_scarred_storm_05,The Gnarl-Maws,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_gnarl_maws_glass_hardened_urban_06,The Gnarl-Maws,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_gnarl_maws_spore_sick_wilds_07,The Gnarl-Maws,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_gnarl_maws_chrome_maw_waste_08,The Gnarl-Maws,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_gnarl_maws_ash_baptized_geothermal_09,The Gnarl-Maws,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_gnarl_maws_overcharged_cosmic_10,The Gnarl-Maws,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_gnarl_maws_bark_crowned_transit_11,The Gnarl-Maws,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_gnarl_maws_echo_split_deep-water_12,The Gnarl-Maws,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_gnarl_maws_null_branded_archive_13,The Gnarl-Maws,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
