skin_id,monster_family,weight,spawn_rule
the_void_anomaly_chrome_maw_void_00,The Void Anomaly,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_ash_baptized_storm_01,The Void Anomaly,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_overcharged_urban_02,The Void Anomaly,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_bark_crowned_wilds_03,The Void Anomaly,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_echo_split_waste_04,The Void Anomaly,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_null_branded_geothermal_05,The Void Anomaly,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_grav_torn_cosmic_06,The Void Anomaly,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_tide_broken_transit_07,The Void Anomaly,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_magnetized_deep-water_08,The Void Anomaly,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_sonic_scarred_archive_09,The Void Anomaly,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_glass_hardened_festival_10,The Void Anomaly,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_spore_sick_quarantine_11,The Void Anomaly,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_chrome_maw_void_12,The Void Anomaly,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_ash_baptized_storm_13,The Void Anomaly,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_overcharged_urban_14,The Void Anomaly,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_bark_crowned_wilds_15,The Void Anomaly,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_echo_split_waste_16,The Void Anomaly,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_null_branded_geothermal_17,The Void Anomaly,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_grav_torn_cosmic_18,The Void Anomaly,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_tide_broken_transit_19,The Void Anomaly,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_magnetized_deep-water_20,The Void Anomaly,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_sonic_scarred_archive_21,The Void Anomaly,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_glass_hardened_festival_22,The Void Anomaly,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_spore_sick_quarantine_23,The Void Anomaly,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_chrome_maw_void_24,The Void Anomaly,8,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_ash_baptized_storm_25,The Void Anomaly,8,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_overcharged_urban_26,The Void Anomaly,8,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_bark_crowned_wilds_27,The Void Anomaly,7,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_echo_split_waste_28,The Void Anomaly,7,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_null_branded_geothermal_29,The Void Anomaly,7,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_grav_torn_cosmic_30,The Void Anomaly,6,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_tide_broken_transit_31,The Void Anomaly,6,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_magnetized_deep-water_32,The Void Anomaly,6,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_sonic_scarred_archive_33,The Void Anomaly,5,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_glass_hardened_festival_34,The Void Anomaly,5,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_void_anomaly_spore_sick_quarantine_35,The Void Anomaly,5,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
