skin_id,monster_family,weight,spawn_rule
the_venom_spitter_ash_baptized_urban_00,The Venom-Spitter,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_overcharged_wilds_01,The Venom-Spitter,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_bark_crowned_waste_02,The Venom-Spitter,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_echo_split_geothermal_03,The Venom-Spitter,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_null_branded_cosmic_04,The Venom-Spitter,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_grav_torn_transit_05,The Venom-Spitter,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_tide_broken_deep-water_06,The Venom-Spitter,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_magnetized_archive_07,The Venom-Spitter,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_sonic_scarred_festival_08,The Venom-Spitter,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_glass_hardened_quarantine_09,The Venom-Spitter,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_spore_sick_void_10,The Venom-Spitter,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_chrome_maw_storm_11,The Venom-Spitter,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_ash_baptized_urban_12,The Venom-Spitter,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_overcharged_wilds_13,The Venom-Spitter,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_bark_crowned_waste_14,The Venom-Spitter,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_echo_split_geothermal_15,The Venom-Spitter,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_null_branded_cosmic_16,The Venom-Spitter,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_grav_torn_transit_17,The Venom-Spitter,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_tide_broken_deep-water_18,The Venom-Spitter,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_magnetized_archive_19,The Venom-Spitter,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_sonic_scarred_festival_20,The Venom-Spitter,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_glass_hardened_quarantine_21,The Venom-Spitter,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_spore_sick_void_22,The Venom-Spitter,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_chrome_maw_storm_23,The Venom-Spitter,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_ash_baptized_urban_24,The Venom-Spitter,8,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_overcharged_wilds_25,The Venom-Spitter,8,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_bark_crowned_waste_26,The Venom-Spitter,8,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_echo_split_geothermal_27,The Venom-Spitter,7,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_null_branded_cosmic_28,The Venom-Spitter,7,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_grav_torn_transit_29,The Venom-Spitter,7,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_tide_broken_deep-water_30,The Venom-Spitter,6,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_magnetized_archive_31,The Venom-Spitter,6,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_sonic_scarred_festival_32,The Venom-Spitter,6,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_glass_hardened_quarantine_33,The Venom-Spitter,5,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_spore_sick_void_34,The Venom-Spitter,5,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_venom_spitter_chrome_maw_storm_35,The Venom-Spitter,5,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
