skin_id,monster_family,weight,spawn_rule
the_nexus_swarmers_tide_broken_urban_00,The Nexus Swarmers,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_magnetized_wilds_01,The Nexus Swarmers,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_sonic_scarred_waste_02,The Nexus Swarmers,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_glass_hardened_geothermal_03,The Nexus Swarmers,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_spore_sick_cosmic_04,The Nexus Swarmers,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_chrome_maw_transit_05,The Nexus Swarmers,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_ash_baptized_deep-water_06,The Nexus Swarmers,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_overcharged_archive_07,The Nexus Swarmers,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_bark_crowned_festival_08,The Nexus Swarmers,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_echo_split_quarantine_09,The Nexus Swarmers,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_null_branded_void_10,The Nexus Swarmers,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_grav_torn_storm_11,The Nexus Swarmers,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_tide_broken_urban_12,The Nexus Swarmers,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_magnetized_wilds_13,The Nexus Swarmers,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_sonic_scarred_waste_14,The Nexus Swarmers,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_glass_hardened_geothermal_15,The Nexus Swarmers,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_spore_sick_cosmic_16,The Nexus Swarmers,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_chrome_maw_transit_17,The Nexus Swarmers,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_ash_baptized_deep-water_18,The Nexus Swarmers,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_overcharged_archive_19,The Nexus Swarmers,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
