skin_id,monster_family,weight,spawn_rule
the_gnarl_maws_sonic_scarred_cosmic_00,The Gnarl-Maws,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_gnarl_maws_glass_hardened_transit_01,The Gnarl-Maws,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_gnarl_maws_spore_sick_deep-water_02,The Gnarl-Maws,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_gnarl_maws_chrome_maw_archive_03,The Gnarl-Maws,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_gnarl_maws_ash_baptized_festival_04,The Gnarl-Maws,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_gnarl_maws_overcharged_quarantine_05,The Gnarl-Maws,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_gnarl_maws_bark_crowned_void_06,The Gnarl-Maws,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_gnarl_maws_echo_split_storm_07,The Gnarl-Maws,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_gnarl_maws_null_branded_urban_08,The Gnarl-Maws,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_gnarl_maws_grav_torn_wilds_09,The Gnarl-Maws,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_gnarl_maws_tide_broken_waste_10,The Gnarl-Maws,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_gnarl_maws_magnetized_geothermal_11,The Gnarl-Maws,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_gnarl_maws_sonic_scarred_cosmic_12,The Gnarl-Maws,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
