skin_id,monster_family,weight,spawn_rule
the_nexus_swarmers_magnetized_waste_00,The Nexus Swarmers,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_sonic_scarred_geothermal_01,The Nexus Swarmers,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_glass_hardened_cosmic_02,The Nexus Swarmers,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_spore_sick_transit_03,The Nexus Swarmers,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_chrome_maw_deep-water_04,The Nexus Swarmers,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_ash_baptized_archive_05,The Nexus Swarmers,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_overcharged_festival_06,The Nexus Swarmers,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_bark_crowned_quarantine_07,The Nexus Swarmers,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_echo_split_void_08,The Nexus Swarmers,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_null_branded_storm_09,The Nexus Swarmers,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_grav_torn_urban_10,The Nexus Swarmers,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_tide_broken_wilds_11,The Nexus Swarmers,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_magnetized_waste_12,The Nexus Swarmers,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_sonic_scarred_geothermal_13,The Nexus Swarmers,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_glass_hardened_cosmic_14,The Nexus Swarmers,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_spore_sick_transit_15,The Nexus Swarmers,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_chrome_maw_deep-water_16,The Nexus Swarmers,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_ash_baptized_archive_17,The Nexus Swarmers,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_overcharged_festival_18,The Nexus Swarmers,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_bark_crowned_quarantine_19,The Nexus Swarmers,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_echo_split_void_20,The Nexus Swarmers,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_null_branded_storm_21,The Nexus Swarmers,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_grav_torn_urban_22,The Nexus Swarmers,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_tide_broken_wilds_23,The Nexus Swarmers,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_magnetized_waste_24,The Nexus Swarmers,8,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_sonic_scarred_geothermal_25,The Nexus Swarmers,8,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_glass_hardened_cosmic_26,The Nexus Swarmers,8,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_spore_sick_transit_27,The Nexus Swarmers,7,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_chrome_maw_deep-water_28,The Nexus Swarmers,7,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_ash_baptized_archive_29,The Nexus Swarmers,7,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_overcharged_festival_30,The Nexus Swarmers,6,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_bark_crowned_quarantine_31,The Nexus Swarmers,6,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_echo_split_void_32,The Nexus Swarmers,6,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_null_branded_storm_33,The Nexus Swarmers,5,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_grav_torn_urban_34,The Nexus Swarmers,5,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_nexus_swarmers_tide_broken_wilds_35,The Nexus Swarmers,5,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
