skin_id,monster_family,weight,spawn_rule
the_scrap_stalker_echo_split_deep-water_00,The Scrap-Stalker,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_stalker_null_branded_archive_01,The Scrap-Stalker,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_stalker_grav_torn_festival_02,The Scrap-Stalker,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_stalker_tide_broken_quarantine_03,The Scrap-Stalker,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_stalker_magnetized_void_04,The Scrap-Stalker,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_stalker_sonic_scarred_storm_05,The Scrap-Stalker,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_stalker_glass_hardened_urban_06,The Scrap-Stalker,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_stalker_spore_sick_wilds_07,The Scrap-Stalker,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_stalker_chrome_maw_waste_08,The Scrap-Stalker,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_stalker_ash_baptized_geothermal_09,The Scrap-Stalker,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_stalker_overcharged_cosmic_10,The Scrap-Stalker,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_stalker_bark_crowned_transit_11,The Scrap-Stalker,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_stalker_echo_split_deep-water_12,The Scrap-Stalker,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_stalker_null_branded_archive_13,The Scrap-Stalker,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_stalker_grav_torn_festival_14,The Scrap-Stalker,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_stalker_tide_broken_quarantine_15,The Scrap-Stalker,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_stalker_magnetized_void_16,The Scrap-Stalker,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_stalker_sonic_scarred_storm_17,The Scrap-Stalker,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_stalker_glass_hardened_urban_18,The Scrap-Stalker,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_stalker_spore_sick_wilds_19,The Scrap-Stalker,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_stalker_chrome_maw_waste_20,The Scrap-Stalker,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
