skin_id,monster_family,weight,spawn_rule
the_sylvan_juggernaut_echo_split_deep-water_00,The Sylvan Juggernaut,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_null_branded_archive_01,The Sylvan Juggernaut,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_grav_torn_festival_02,The Sylvan Juggernaut,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_tide_broken_quarantine_03,The Sylvan Juggernaut,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_magnetized_void_04,The Sylvan Juggernaut,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_sonic_scarred_storm_05,The Sylvan Juggernaut,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_glass_hardened_urban_06,The Sylvan Juggernaut,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_spore_sick_wilds_07,The Sylvan Juggernaut,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_chrome_maw_waste_08,The Sylvan Juggernaut,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_ash_baptized_geothermal_09,The Sylvan Juggernaut,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_overcharged_cosmic_10,The Sylvan Juggernaut,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_bark_crowned_transit_11,The Sylvan Juggernaut,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_echo_split_deep-water_12,The Sylvan Juggernaut,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_null_branded_archive_13,The Sylvan Juggernaut,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_grav_torn_festival_14,The Sylvan Juggernaut,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_tide_broken_quarantine_15,The Sylvan Juggernaut,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_magnetized_void_16,The Sylvan Juggernaut,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_sonic_scarred_storm_17,The Sylvan Juggernaut,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_glass_hardened_urban_18,The Sylvan Juggernaut,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_spore_sick_wilds_19,The Sylvan Juggernaut,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_chrome_maw_waste_20,The Sylvan Juggernaut,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_ash_baptized_geothermal_21,The Sylvan Juggernaut,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_overcharged_cosmic_22,The Sylvan Juggernaut,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_bark_crowned_transit_23,The Sylvan Juggernaut,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_echo_split_deep-water_24,The Sylvan Juggernaut,8,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_null_branded_archive_25,The Sylvan Juggernaut,8,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_grav_torn_festival_26,The Sylvan Juggernaut,8,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_tide_broken_quarantine_27,The Sylvan Juggernaut,7,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_magnetized_void_28,The Sylvan Juggernaut,7,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_sonic_scarred_storm_29,The Sylvan Juggernaut,7,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_glass_hardened_urban_30,The Sylvan Juggernaut,6,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_spore_sick_wilds_31,The Sylvan Juggernaut,6,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_chrome_maw_waste_32,The Sylvan Juggernaut,6,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_ash_baptized_geothermal_33,The Sylvan Juggernaut,5,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_overcharged_cosmic_34,The Sylvan Juggernaut,5,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_sylvan_juggernaut_bark_crowned_transit_35,The Sylvan Juggernaut,5,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
