skin_id,monster_family,weight,spawn_rule
the_scrap_stalker_glass_hardened_deep-water_00,The Scrap-Stalker,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_stalker_spore_sick_archive_01,The Scrap-Stalker,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_stalker_chrome_maw_festival_02,The Scrap-Stalker,16,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_stalker_ash_baptized_quarantine_03,The Scrap-Stalker,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_stalker_overcharged_void_04,The Scrap-Stalker,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_stalker_bark_crowned_storm_05,The Scrap-Stalker,15,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_stalker_echo_split_urban_06,The Scrap-Stalker,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_stalker_null_branded_wilds_07,The Scrap-Stalker,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_stalker_grav_torn_waste_08,The Scrap-Stalker,14,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_stalker_tide_broken_geothermal_09,The Scrap-Stalker,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_stalker_magnetized_cosmic_10,The Scrap-Stalker,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_stalker_sonic_scarred_transit_11,The Scrap-Stalker,13,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_stalker_glass_hardened_deep-water_12,The Scrap-Stalker,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_stalker_spore_sick_archive_13,The Scrap-Stalker,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_stalker_chrome_maw_festival_14,The Scrap-Stalker,12,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_stalker_ash_baptized_quarantine_15,The Scrap-Stalker,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_stalker_overcharged_void_16,The Scrap-Stalker,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_stalker_bark_crowned_storm_17,The Scrap-Stalker,11,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_stalker_echo_split_urban_18,The Scrap-Stalker,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_stalker_null_branded_wilds_19,The Scrap-Stalker,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_stalker_grav_torn_waste_20,The Scrap-Stalker,10,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_stalker_tide_broken_geothermal_21,The Scrap-Stalker,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_stalker_magnetized_cosmic_22,The Scrap-Stalker,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_stalker_sonic_scarred_transit_23,The Scrap-Stalker,9,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_stalker_glass_hardened_deep-water_24,The Scrap-Stalker,8,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_stalker_spore_sick_archive_25,The Scrap-Stalker,8,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
the_scrap_stalker_chrome_maw_festival_26,The Scrap-Stalker,8,choose weighted random skin on spawn; never reuse the previous 3 skin_ids in the same encounter unless pool is exhausted
