pack_number,zip,pack_name,class,subclass,specialization,ability,monster,boss,support_npc,weather,terrain,sun_variant,glb_modules,texture_png,audio_wav,config_docs,size_bytes
923,0923_packmaster_release_the_hound_combat_magic_upgrade_0923.zip,Packmaster Release the Hound Combat Magic Upgrade 0923,Packmaster,Feral Vanguard,Pack Mentality,Release the Hound,The Grid-Rushers,The Syndicate Lich,Beastmaster Thorne,tidal surge,glass shard soundwave,eclipse violet rim,8,12,5,11,83289
924,0924_orbital_striker_thruster_strike_combat_magic_upgrade_0924.zip,Orbital Striker Thruster-Strike Combat Magic Upgrade 0924,Orbital Striker,Grav-Architect,Singularity Tether,Thruster-Strike,The Siphon-Ticks,The Apex Chimera,Director Vance,clear dawn,root snare,storm green cast,8,12,5,11,86645
925,0925_scrap_tek_magnetic_tether_combat_magic_upgrade_0925.zip,Scrap-Tek Magnetic Tether Combat Magic Upgrade 0925,Scrap-Tek,Shock-Jockey,Static Grid,Magnetic Tether,The Venom-Spitter,The Astral Sovereign,The Grand Archivist,amber dusk,starfield dust,molten red noon,8,12,5,11,94563
926,0926_kinetic_juggernaut_release_valve_combat_magic_upgrade_0926.zip,Kinetic Juggernaut Release Valve Combat Magic Upgrade 0926,Kinetic Juggernaut,Inertia Bastion,Heavy Grapple,Release Valve,Nexus Warden,The Null Anomaly,Tidespeaker Nami,acid rain,glass shard soundwave,deep-water cyan bloom,8,12,5,11,125802
927,0927_phantom_shift_blink_parry_combat_magic_upgrade_0927.zip,Phantom-Shift Blink-Parry Combat Magic Upgrade 0927,Phantom-Shift,Glass-Cannon,Sensory Feedback,Blink-Parry,The Void Anomaly,The Ivory Behemoth,Beastmaster Thorne,snow squall,root snare,archive white-gold,8,12,5,11,87463
928,0928_sylvan_warden_briar_web_combat_magic_upgrade_0928.zip,Sylvan Warden Briar Web Combat Magic Upgrade 0928,Sylvan Warden,Root-Binder,Photosynthesis,Briar Web,The Scrap-Phalanx,The Ascendant Colossus,Director Vance,zero-g starstorm,starfield dust,void blacklight sun,8,12,5,11,126534
929,0929_flux_caster_elemental_dive_combat_magic_upgrade_0929.zip,Flux-Caster Elemental Dive Combat Magic Upgrade 0929,Flux-Caster,Elemental Weaver,Blizzard,Elemental Dive,The Iron-Jaw Hound,The Resonant Behemoth,The Grand Archivist,fog bank,glass shard soundwave,festival magenta sun,8,12,5,11,109674
930,0930_protocol_weaver_grapple_syntax_combat_magic_upgrade_0930.zip,Protocol Weaver Grapple Syntax Combat Magic Upgrade 0930,Protocol Weaver,Anomaly,Biomechanical Shift,Grapple Syntax,The Nexus Swarmers,The Data-Forged Evolvarch,Tidespeaker Nami,tidal surge,root snare,cold blue sunrise,8,12,5,11,110077
931,0931_apex_mutator_assimilation_roar_combat_magic_upgrade_0931.zip,Apex Mutator Assimilation Roar Combat Magic Upgrade 0931,Apex Mutator,Chimera Strand,Earth-Shaker,Assimilation Roar,The Sylvan Juggernaut,The Resonance Maestro,Beastmaster Thorne,clear dawn,starfield dust,golden sanctuary sun,8,12,5,11,126908
932,0932_resonant_dual_woofer_slam_combat_magic_upgrade_0932.zip,Resonant Dual-Woofer Slam Combat Magic Upgrade 0932,Resonant,Sonic Vanguard,Psychoacoustic Illusion,Dual-Woofer Slam,The Gnarl-Maws,The Syndicate Lich,Director Vance,amber dusk,glass shard soundwave,ash-orange glare,8,12,5,11,108937
933,0933_packmaster_alpha_s_command_combat_magic_upgrade_0933.zip,Packmaster Alpha's Command Combat Magic Upgrade 0933,Packmaster,Outward Hunter,Mounted Artillery,Alpha's Command,The Aegis Carapace,The Apex Chimera,The Grand Archivist,acid rain,root snare,eclipse violet rim,8,12,5,11,83419
934,0934_orbital_striker_the_rod_of_god_combat_magic_upgrade_0934.zip,Orbital Striker The Rod of God Combat Magic Upgrade 0934,Orbital Striker,Orbital Bombardment,Kinetic Rods,The Rod of God,The Tremor-Fiend,The Astral Sovereign,Tidespeaker Nami,snow squall,starfield dust,storm green cast,8,12,5,11,87305
935,0935_scrap_tek_junkyard_titan_combat_magic_upgrade_0935.zip,Scrap-Tek Junkyard Titan Combat Magic Upgrade 0935,Scrap-Tek,Exo-Brawler,Hydraulic Leap,Junkyard Titan,The Scrap-Stalker,The Null Anomaly,Beastmaster Thorne,zero-g starstorm,glass shard soundwave,molten red noon,8,12,5,11,94878
936,0936_kinetic_juggernaut_heavy_handed_combat_magic_upgrade_0936.zip,Kinetic Juggernaut Heavy-Handed Combat Magic Upgrade 0936,Kinetic Juggernaut,Counter-Weight,Kinetic Absorption,Heavy-Handed,The Grid-Rushers,The Ivory Behemoth,Director Vance,fog bank,root snare,deep-water cyan bloom,8,12,5,11,126541
937,0937_phantom_shift_reality_shatter_combat_magic_upgrade_0937.zip,Phantom-Shift Reality Shatter Combat Magic Upgrade 0937,Phantom-Shift,Void-Walker,Phase-Shift Assassination,Reality Shatter,The Siphon-Ticks,The Ascendant Colossus,The Grand Archivist,tidal surge,starfield dust,archive white-gold,8,12,5,11,86819
938,0938_sylvan_warden_bramble_slam_combat_magic_upgrade_0938.zip,Sylvan Warden Bramble-Slam Combat Magic Upgrade 0938,Sylvan Warden,Iron-Bark,Thorns & Tethers,Bramble-Slam,The Venom-Spitter,The Resonant Behemoth,Tidespeaker Nami,clear dawn,glass shard soundwave,void blacklight sun,8,12,5,11,127605
939,0939_flux_caster_stance_dance_combat_magic_upgrade_0939.zip,Flux-Caster Stance Dance Combat Magic Upgrade 0939,Flux-Caster,Aether-Blade,Superconduct,Stance Dance,Nexus Warden,The Data-Forged Evolvarch,Beastmaster Thorne,amber dusk,root snare,festival magenta sun,8,12,5,11,108808
