item_category,slot,gear_family,count
Armor,Back,Cape,67
Armor,Back,Cloak,68
Armor,Chest,Chestplate,68
Armor,Chest,Coat,67
Armor,Chest,Cuirass,20
Armor,Chest,Exo-Rig,68
Armor,Feet,Boots,87
Armor,Hands,Gauntlets,85
Armor,Hands,Gloves,66
Armor,Head,Crown,20
Armor,Head,Helm,66
Armor,Head,Mask,65
Armor,Head,Visor,66
Armor,Legs,Greaves,87
Armor,Legs,Legwraps,66
Armor,Shield,Aegis Shield,66
Armor,Shoulders,Mantle,65
Armor,Shoulders,Pauldrons,68
Armor,Waist,Belt,68
Armor,Wrists,Bracers,67
Weapon,Arm Weapon,Magnetic Grapple Gauntlet,36
Weapon,Caster Weapon,Thermal Scepter,32
Weapon,Dual Ranged,Pulse Pistols,32
Weapon,Dual Weapon,Twin Daggers,33
Weapon,Fist Weapon,Hydraulic Knuckles,31
Weapon,Handler Focus,Command Whistle,33
Weapon,Heavy Ranged,Scrap Cannon,35
Weapon,Main Hand,Data-Katana,53
Weapon,Main Hand,One-Hand Sword,32
Weapon,Main Hand,Protocol Blade,55
Weapon,Main Hand,Tuning-Fork Blade,34
Weapon,Off Hand Focus,Aether Focus,32
Weapon,Ranged Weapon,Briar Bow,34
Weapon,Ranged Weapon,Crossbow,32
Weapon,Ranged Weapon,Rail Rifle,35
Weapon,Thrown Weapon,Void Chakrams,33
Weapon,Two-Hand Focus,Flux Staff,52
Weapon,Two-Hand Weapon,Battleaxe,34
Weapon,Two-Hand Weapon,Glaive,35
Weapon,Two-Hand Weapon,Gravity Lance,53
Weapon,Two-Hand Weapon,Greatsword,56
Weapon,Two-Hand Weapon,Sonic Maul,33
Weapon,Two-Hand Weapon,Vine Scythe,32
Weapon,Two-Hand Weapon,Warhammer,33
