required_level,Common,Uncommon,Rare,Very Rare,Super,Legend,Ancient,Mythological,Godly,Total
1,50,0,0,0,0,0,0,0,0,50
2,35,15,0,0,0,0,0,0,0,50
3,35,15,0,0,0,0,0,0,0,50
4,35,15,0,0,0,0,0,0,0,50
5,25,17,8,0,0,0,0,0,0,50
6,25,17,8,0,0,0,0,0,0,50
7,25,17,8,0,0,0,0,0,0,50
8,25,17,8,0,0,0,0,0,0,50
9,15,18,12,5,0,0,0,0,0,50
10,15,18,12,5,0,0,0,0,0,50
11,15,18,12,5,0,0,0,0,0,50
12,15,18,12,5,0,0,0,0,0,50
13,8,16,15,8,3,0,0,0,0,50
14,8,16,15,8,3,0,0,0,0,50
15,8,16,15,8,3,0,0,0,0,50
16,8,16,15,8,3,0,0,0,0,50
17,5,12,18,10,5,0,0,0,0,50
18,5,12,18,10,5,0,0,0,0,50
19,5,12,18,10,5,0,0,0,0,50
20,5,12,18,10,5,0,0,0,0,50
21,2,8,18,15,6,1,0,0,0,50
22,2,8,18,15,6,1,0,0,0,50
23,2,8,18,15,6,1,0,0,0,50
24,2,7,17,15,7,2,0,0,0,50
25,2,7,17,15,7,2,0,0,0,50
26,1,6,16,16,8,2,1,0,0,50
27,1,6,16,16,8,2,1,0,0,50
28,1,6,16,16,8,2,1,0,0,50
29,1,5,15,16,8,3,2,0,0,50
30,1,5,15,16,8,3,2,0,0,50
31,0,4,14,17,9,3,2,1,0,50
32,0,4,14,17,9,3,2,1,0,50
33,0,3,12,17,10,4,3,1,0,50
34,0,3,12,17,10,4,3,1,0,50
35,0,3,12,17,10,4,3,1,0,50
36,0,2,10,17,10,5,4,2,0,50
37,0,2,10,17,10,5,4,2,0,50
38,0,2,10,17,10,5,4,2,0,50
39,0,1,8,17,11,6,5,2,0,50
40,0,0,8,16,12,6,5,3,200,250
