source_type,Common,Uncommon,Rare,Very Rare,Super,Legend,Ancient,Mythological,Godly,Total
Boss Drop,0,0,0,28,44,22,15,5,0,114
Crafting Pattern,39,46,49,0,17,0,0,0,0,151
Dungeon Cache,0,0,82,95,53,12,4,2,0,248
Faction Vendor,0,22,51,46,19,3,2,0,0,143
Godly Unique Source,0,0,0,0,0,0,0,0,200,200
Monster Drop,83,97,124,87,0,0,0,0,0,391
Quest Reward,63,86,106,102,43,15,4,3,0,422
Random Chest,81,74,76,21,0,0,0,0,0,252
Shop Inventory,116,62,0,0,0,0,0,0,0,178
Special Event Drop,0,0,0,37,24,6,9,2,0,78
World Secret,0,0,0,0,5,6,8,4,0,23
