region,sub_location,areas,shop_types_present,has_inn,has_blacksmith,has_weapon_skin_shop,has_armor_dye_pack_shop
01 Cosmic Layer,01 Lunar Readiness Base,9,"Alchemist, Armor Dye Pack Shop, Blacksmith, General Goods, Inn, Mechanic, Medic, Stable, Tailor, Weapon Skin Shop",yes,yes,yes,yes
01 Cosmic Layer,02 Planet Defense Perimeter,14,"Alchemist, Armor Dye Pack Shop, Blacksmith, Curio Shop, Enchanter, Food Stall, General Goods, Inn, Medic, Relic Trader, Stable, Tailor, Weapon Skin Shop",yes,yes,yes,yes
01 Cosmic Layer,03 Orbital Tether Station,10,"Armor Dye Pack Shop, Blacksmith, Curio Shop, General Goods, Inn, Marketplace, Mechanic, Relic Trader, Stable, Weapon Skin Shop",yes,yes,yes,yes
01 Cosmic Layer,04 Space Elevator,10,"Alchemist, Armor Dye Pack Shop, Blacksmith, Curio Shop, Enchanter, Food Stall, Inn, Marketplace, Mechanic, Medic, Stable, Weapon Skin Shop",yes,yes,yes,yes
02 Urban Core,01 The Zenith Spire,12,"Alchemist, Armor Dye Pack Shop, Blacksmith, Curio Shop, Food Stall, General Goods, Inn, Medic, Relic Trader, Stable, Tailor, Weapon Skin Shop",yes,yes,yes,yes
02 Urban Core,02 The Provisioning Sectors,10,"Armor Dye Pack Shop, Blacksmith, Curio Shop, Enchanter, Food Stall, Inn, Marketplace, Medic, Relic Trader, Stable, Weapon Skin Shop",yes,yes,yes,yes
02 Urban Core,03 The On Demand Arteries,10,"Armor Dye Pack Shop, Blacksmith, Curio Shop, Enchanter, Inn, Marketplace, Mechanic, Stable, Weapon Skin Shop",yes,yes,yes,yes
02 Urban Core,04 The Raid Rush Choke Points,10,"Alchemist, Armor Dye Pack Shop, Blacksmith, Curio Shop, Enchanter, Inn, Medic, Tailor, Weapon Skin Shop",yes,yes,yes,yes
02 Urban Core,05 The Front Matter Void,10,"Alchemist, Armor Dye Pack Shop, Blacksmith, Curio Shop, Enchanter, Food Stall, General Goods, Inn, Stable, Weapon Skin Shop",yes,yes,yes,yes
02 Urban Core,06 The Micro Markets,10,"Armor Dye Pack Shop, Blacksmith, Curio Shop, Enchanter, Inn, Mechanic, Relic Trader, Stable, Tailor, Weapon Skin Shop",yes,yes,yes,yes
03 Western Wastes And Arid Plains,01 The Resonant Peaks,10,"Alchemist, Armor Dye Pack Shop, Blacksmith, General Goods, Inn, Marketplace, Mechanic, Medic, Tailor, Weapon Skin Shop",yes,yes,yes,yes
03 Western Wastes And Arid Plains,02 The Sonic Badlands,9,"Armor Dye Pack Shop, Blacksmith, Curio Shop, Enchanter, General Goods, Inn, Medic, Relic Trader, Stable, Tailor, Weapon Skin Shop",yes,yes,yes,yes
03 Western Wastes And Arid Plains,03 The Heavy Chewer Canyons,9,"Armor Dye Pack Shop, Blacksmith, Food Stall, Inn, Mechanic, Medic, Stable, Tailor, Weapon Skin Shop",yes,yes,yes,yes
03 Western Wastes And Arid Plains,04 The Shut Down Academies,9,"Alchemist, Armor Dye Pack Shop, Blacksmith, General Goods, Inn, Marketplace, Mechanic, Medic, Relic Trader, Stable, Tailor, Weapon Skin Shop",yes,yes,yes,yes
03 Western Wastes And Arid Plains,05 The Deprecated Repositories,9,"Alchemist, Armor Dye Pack Shop, Blacksmith, Curio Shop, Enchanter, Food Stall, Inn, Marketplace, Medic, Tailor, Weapon Skin Shop",yes,yes,yes,yes
03 Western Wastes And Arid Plains,06 The Scrap Yard Labyrinth,9,"Armor Dye Pack Shop, Blacksmith, Enchanter, Food Stall, General Goods, Inn, Marketplace, Stable, Tailor, Weapon Skin Shop",yes,yes,yes,yes
03 Western Wastes And Arid Plains,07 The Playa Of Ash,9,"Armor Dye Pack Shop, Blacksmith, Curio Shop, Food Stall, Inn, Marketplace, Mechanic, Medic, Stable, Tailor, Weapon Skin Shop",yes,yes,yes,yes
03 Western Wastes And Arid Plains,08 The Burning Playa,9,"Armor Dye Pack Shop, Blacksmith, Enchanter, Food Stall, Inn, Mechanic, Relic Trader, Stable, Tailor, Weapon Skin Shop",yes,yes,yes,yes
03 Western Wastes And Arid Plains,09 The Rhyming Labyrinths,9,"Alchemist, Armor Dye Pack Shop, Blacksmith, Food Stall, Inn, Marketplace, Mechanic, Medic, Relic Trader, Weapon Skin Shop",yes,yes,yes,yes
03 Western Wastes And Arid Plains,10 The Phonetic Wastes,10,"Alchemist, Armor Dye Pack Shop, Blacksmith, Enchanter, Food Stall, General Goods, Inn, Relic Trader, Stable, Tailor, Weapon Skin Shop",yes,yes,yes,yes
04 Eastern Wilds And Ancient Archives,01 The Emerald Canopy Sanctuary,9,"Armor Dye Pack Shop, Blacksmith, Curio Shop, Enchanter, Food Stall, General Goods, Inn, Mechanic, Stable, Weapon Skin Shop",yes,yes,yes,yes
04 Eastern Wilds And Ancient Archives,02 The Whispering Glade,9,"Armor Dye Pack Shop, Blacksmith, Curio Shop, Enchanter, Food Stall, General Goods, Inn, Marketplace, Relic Trader, Stable, Weapon Skin Shop",yes,yes,yes,yes
04 Eastern Wilds And Ancient Archives,03 The Canopy Portrait Halls,9,"Alchemist, Armor Dye Pack Shop, Blacksmith, Curio Shop, General Goods, Inn, Medic, Relic Trader, Stable, Tailor, Weapon Skin Shop",yes,yes,yes,yes
04 Eastern Wilds And Ancient Archives,04 The Infinite Archives,9,"Alchemist, Armor Dye Pack Shop, Blacksmith, Curio Shop, Enchanter, Food Stall, Inn, Medic, Relic Trader, Tailor, Weapon Skin Shop",yes,yes,yes,yes
04 Eastern Wilds And Ancient Archives,05 The Voyage Incubator,9,"Alchemist, Armor Dye Pack Shop, Blacksmith, Curio Shop, General Goods, Inn, Marketplace, Medic, Relic Trader, Stable, Weapon Skin Shop",yes,yes,yes,yes
04 Eastern Wilds And Ancient Archives,06 The Lichs Court,9,"Alchemist, Armor Dye Pack Shop, Blacksmith, Curio Shop, Enchanter, Food Stall, General Goods, Inn, Mechanic, Tailor, Weapon Skin Shop",yes,yes,yes,yes
04 Eastern Wilds And Ancient Archives,07 The Evolution Arenas,9,"Alchemist, Armor Dye Pack Shop, Blacksmith, General Goods, Inn, Medic, Stable, Tailor, Weapon Skin Shop",yes,yes,yes,yes
04 Eastern Wilds And Ancient Archives,08 The Pocket Monster Plains,9,"Alchemist, Armor Dye Pack Shop, Blacksmith, Curio Shop, General Goods, Inn, Marketplace, Relic Trader, Stable, Weapon Skin Shop",yes,yes,yes,yes
04 Eastern Wilds And Ancient Archives,09 The Magma Core Forges,9,"Armor Dye Pack Shop, Blacksmith, Curio Shop, Enchanter, Food Stall, Inn, Medic, Tailor, Weapon Skin Shop",yes,yes,yes,yes
04 Eastern Wilds And Ancient Archives,10 The Reggae Dub Oasis,9,"Alchemist, Armor Dye Pack Shop, Blacksmith, Enchanter, General Goods, Inn, Marketplace, Relic Trader, Tailor, Weapon Skin Shop",yes,yes,yes,yes
05 Deep Transit System,01 The Subterranean Grid,9,"Alchemist, Armor Dye Pack Shop, Blacksmith, Food Stall, General Goods, Inn, Mechanic, Medic, Relic Trader, Tailor, Weapon Skin Shop",yes,yes,yes,yes
05 Deep Transit System,02 The Private Quarantine,9,"Armor Dye Pack Shop, Blacksmith, Curio Shop, Inn, Marketplace, Mechanic, Medic, Relic Trader, Stable, Tailor, Weapon Skin Shop",yes,yes,yes,yes
05 Deep Transit System,03 The Revision Labs,9,"Alchemist, Armor Dye Pack Shop, Blacksmith, Curio Shop, General Goods, Inn, Mechanic, Relic Trader, Tailor, Weapon Skin Shop",yes,yes,yes,yes
06 Geothermal Abyss,01 The Molten Forge,9,"Armor Dye Pack Shop, Blacksmith, Enchanter, Inn, Marketplace, Mechanic, Medic, Relic Trader, Tailor, Weapon Skin Shop",yes,yes,yes,yes
06 Geothermal Abyss,02 The Abyssal Trench,9,"Alchemist, Armor Dye Pack Shop, Blacksmith, Curio Shop, Enchanter, Food Stall, Inn, Marketplace, Mechanic, Medic, Tailor, Weapon Skin Shop",yes,yes,yes,yes
06 Geothermal Abyss,03 The Wayfora Archipelago,9,"Armor Dye Pack Shop, Blacksmith, Food Stall, General Goods, Inn, Marketplace, Medic, Tailor, Weapon Skin Shop",yes,yes,yes,yes
