npc_id,npc_name,region,sub_location,area,role,archetype,file
01_cosmic_layer.01_lunar_readiness_base.01.01,"Cassian Whispercoil, Runner near Lunar",01 Cosmic Layer,01 Lunar Readiness Base,Lunar Command Citadel,Broker,mystic,sub_locations/01_cosmic_layer/01_lunar_readiness_base/01_lunar_command_citadel/01_cassian_whispercoil_runner_near_lunar.glb
01_cosmic_layer.01_lunar_readiness_base.01.02,"Astra Gearmantle, Watcher at Lunar",01 Cosmic Layer,01 Lunar Readiness Base,Lunar Command Citadel,Smith,sentinel,sub_locations/01_cosmic_layer/01_lunar_readiness_base/01_lunar_command_citadel/02_astra_gearmantle_watcher_at_lunar.glb
01_cosmic_layer.01_lunar_readiness_base.01.03,"Cassian Stormhush, Marshal under Lunar",01 Cosmic Layer,01 Lunar Readiness Base,Lunar Command Citadel,Operator,worker,sub_locations/01_cosmic_layer/01_lunar_readiness_base/01_lunar_command_citadel/03_cassian_stormhush_marshal_under_lunar.glb
01_cosmic_layer.01_lunar_readiness_base.01.04,"Zerin Signalborn, Medic of Lunar",01 Cosmic Layer,01 Lunar Readiness Base,Lunar Command Citadel,Watcher,warden,sub_locations/01_cosmic_layer/01_lunar_readiness_base/01_lunar_command_citadel/04_zerin_signalborn_medic_of_lunar.glb
01_cosmic_layer.01_lunar_readiness_base.01.05,"Sable Trenchmark, Archivist at Lunar",01 Cosmic Layer,01 Lunar Readiness Base,Lunar Command Citadel,Warden,navigator,sub_locations/01_cosmic_layer/01_lunar_readiness_base/01_lunar_command_citadel/05_sable_trenchmark_archivist_at_lunar.glb
01_cosmic_layer.01_lunar_readiness_base.01.06,"Astra Gearmantle, Operator near Lunar",01 Cosmic Layer,01 Lunar Readiness Base,Lunar Command Citadel,Operator,scout,sub_locations/01_cosmic_layer/01_lunar_readiness_base/01_lunar_command_citadel/06_astra_gearmantle_operator_near_lunar.glb
01_cosmic_layer.01_lunar_readiness_base.01.07,"Orin Voidrill, Keeper of Lunar",01 Cosmic Layer,01 Lunar Readiness Base,Lunar Command Citadel,Sentinel,tamer,sub_locations/01_cosmic_layer/01_lunar_readiness_base/01_lunar_command_citadel/07_orin_voidrill_keeper_of_lunar.glb
01_cosmic_layer.01_lunar_readiness_base.01.08,"Soren Dubwater, Ranger at Lunar",01 Cosmic Layer,01 Lunar Readiness Base,Lunar Command Citadel,Medic,medic,sub_locations/01_cosmic_layer/01_lunar_readiness_base/01_lunar_command_citadel/08_soren_dubwater_ranger_at_lunar.glb
01_cosmic_layer.01_lunar_readiness_base.01.09,"Astra Chromabell, Archivist under Lunar",01 Cosmic Layer,01 Lunar Readiness Base,Lunar Command Citadel,Pilgrim,pilot,sub_locations/01_cosmic_layer/01_lunar_readiness_base/01_lunar_command_citadel/09_astra_chromabell_archivist_under_lunar.glb
01_cosmic_layer.01_lunar_readiness_base.01.10,"Eryk Ashvein, Smith under Lunar",01 Cosmic Layer,01 Lunar Readiness Base,Lunar Command Citadel,Captain,engineer,sub_locations/01_cosmic_layer/01_lunar_readiness_base/01_lunar_command_citadel/10_eryk_ashvein_smith_under_lunar.glb
01_cosmic_layer.01_lunar_readiness_base.01.11,"Tovin Frostrelay, Herald of Lunar",01 Cosmic Layer,01 Lunar Readiness Base,Lunar Command Citadel,Pilgrim,pilot,sub_locations/01_cosmic_layer/01_lunar_readiness_base/01_lunar_command_citadel/11_tovin_frostrelay_herald_of_lunar.glb
01_cosmic_layer.01_lunar_readiness_base.01.12,"Varren Runeclasp, Pilgrim near Lunar",01 Cosmic Layer,01 Lunar Readiness Base,Lunar Command Citadel,Navigator,archivist,sub_locations/01_cosmic_layer/01_lunar_readiness_base/01_lunar_command_citadel/12_varren_runeclasp_pilgrim_near_lunar.glb
01_cosmic_layer.01_lunar_readiness_base.01.13,"Draven Deepwell, Keeper of Lunar",01 Cosmic Layer,01 Lunar Readiness Base,Lunar Command Citadel,Mechanist,navigator,sub_locations/01_cosmic_layer/01_lunar_readiness_base/01_lunar_command_citadel/13_draven_deepwell_keeper_of_lunar.glb
01_cosmic_layer.01_lunar_readiness_base.01.14,"Edda Spirebound, Responder under Lunar",01 Cosmic Layer,01 Lunar Readiness Base,Lunar Command Citadel,Medic,navigator,sub_locations/01_cosmic_layer/01_lunar_readiness_base/01_lunar_command_citadel/14_edda_spirebound_responder_under_lunar.glb
01_cosmic_layer.01_lunar_readiness_base.01.15,"Selka Nullborne, Specialist at Lunar",01 Cosmic Layer,01 Lunar Readiness Base,Lunar Command Citadel,Medic,medic,sub_locations/01_cosmic_layer/01_lunar_readiness_base/01_lunar_command_citadel/15_selka_nullborne_specialist_at_lunar.glb
01_cosmic_layer.01_lunar_readiness_base.01.16,"Auren Tideforged, Oracle of Lunar",01 Cosmic Layer,01 Lunar Readiness Base,Lunar Command Citadel,Custodian,warden,sub_locations/01_cosmic_layer/01_lunar_readiness_base/01_lunar_command_citadel/16_auren_tideforged_oracle_of_lunar.glb
01_cosmic_layer.01_lunar_readiness_base.01.17,"Maelis Gearmantle, Marshal from Lunar",01 Cosmic Layer,01 Lunar Readiness Base,Lunar Command Citadel,Responder,mystic,sub_locations/01_cosmic_layer/01_lunar_readiness_base/01_lunar_command_citadel/17_maelis_gearmantle_marshal_from_lunar.glb
01_cosmic_layer.01_lunar_readiness_base.01.18,"Maven Echohand, Scout from Lunar",01 Cosmic Layer,01 Lunar Readiness Base,Lunar Command Citadel,Mechanist,medic,sub_locations/01_cosmic_layer/01_lunar_readiness_base/01_lunar_command_citadel/18_maven_echohand_scout_from_lunar.glb
01_cosmic_layer.01_lunar_readiness_base.01.19,"Zerin Voidrill, Sentinel near Lunar",01 Cosmic Layer,01 Lunar Readiness Base,Lunar Command Citadel,Ranger,medic,sub_locations/01_cosmic_layer/01_lunar_readiness_base/01_lunar_command_citadel/19_zerin_voidrill_sentinel_near_lunar.glb
01_cosmic_layer.01_lunar_readiness_base.01.20,"Tovin Ironwake, Mechanist of Lunar",01 Cosmic Layer,01 Lunar Readiness Base,Lunar Command Citadel,Herald,mystic,sub_locations/01_cosmic_layer/01_lunar_readiness_base/01_lunar_command_citadel/20_tovin_ironwake_mechanist_of_lunar.glb
01_cosmic_layer.01_lunar_readiness_base.02.01,"Kiva Voxmere, Diver from Crater",01 Cosmic Layer,01 Lunar Readiness Base,Crater Gantry Loop,Custodian,merchant,sub_locations/01_cosmic_layer/01_lunar_readiness_base/02_crater_gantry_loop/01_kiva_voxmere_diver_from_crater.glb
01_cosmic_layer.01_lunar_readiness_base.02.02,"Kael Ashvein, Specialist from Crater",01 Cosmic Layer,01 Lunar Readiness Base,Crater Gantry Loop,Oracle,navigator,sub_locations/01_cosmic_layer/01_lunar_readiness_base/02_crater_gantry_loop/02_kael_ashvein_specialist_from_crater.glb
01_cosmic_layer.01_lunar_readiness_base.02.03,"Draven Skyharrow, Guide near Crater",01 Cosmic Layer,01 Lunar Readiness Base,Crater Gantry Loop,Guide,archivist,sub_locations/01_cosmic_layer/01_lunar_readiness_base/02_crater_gantry_loop/03_draven_skyharrow_guide_near_crater.glb
01_cosmic_layer.01_lunar_readiness_base.02.04,"Calder Spirebound, Courier near Crater",01 Cosmic Layer,01 Lunar Readiness Base,Crater Gantry Loop,Tamer,archivist,sub_locations/01_cosmic_layer/01_lunar_readiness_base/02_crater_gantry_loop/04_calder_spirebound_courier_near_crater.glb
01_cosmic_layer.01_lunar_readiness_base.02.05,"Elo Cinderholt, Specialist from Crater",01 Cosmic Layer,01 Lunar Readiness Base,Crater Gantry Loop,Captain,warden,sub_locations/01_cosmic_layer/01_lunar_readiness_base/02_crater_gantry_loop/05_elo_cinderholt_specialist_from_crater.glb
01_cosmic_layer.01_lunar_readiness_base.02.06,"Lio Runeclasp, Watcher near Crater",01 Cosmic Layer,01 Lunar Readiness Base,Crater Gantry Loop,Tamer,navigator,sub_locations/01_cosmic_layer/01_lunar_readiness_base/02_crater_gantry_loop/06_lio_runeclasp_watcher_near_crater.glb
01_cosmic_layer.01_lunar_readiness_base.02.07,"Kael Chromabell, Marshal under Crater",01 Cosmic Layer,01 Lunar Readiness Base,Crater Gantry Loop,Mechanist,merchant,sub_locations/01_cosmic_layer/01_lunar_readiness_base/02_crater_gantry_loop/07_kael_chromabell_marshal_under_crater.glb
01_cosmic_layer.01_lunar_readiness_base.02.08,"Bex Ironwake, Sentinel under Crater",01 Cosmic Layer,01 Lunar Readiness Base,Crater Gantry Loop,Tactician,archivist,sub_locations/01_cosmic_layer/01_lunar_readiness_base/02_crater_gantry_loop/08_bex_ironwake_sentinel_under_crater.glb
01_cosmic_layer.01_lunar_readiness_base.02.09,"Sarai Brightlock, Smith near Crater",01 Cosmic Layer,01 Lunar Readiness Base,Crater Gantry Loop,Scout,navigator,sub_locations/01_cosmic_layer/01_lunar_readiness_base/02_crater_gantry_loop/09_sarai_brightlock_smith_near_crater.glb
01_cosmic_layer.01_lunar_readiness_base.02.10,"Sarai Cinderholt, Tamer at Crater",01 Cosmic Layer,01 Lunar Readiness Base,Crater Gantry Loop,Runner,worker,sub_locations/01_cosmic_layer/01_lunar_readiness_base/02_crater_gantry_loop/10_sarai_cinderholt_tamer_at_crater.glb
01_cosmic_layer.01_lunar_readiness_base.02.11,"Mirek Dubwater, Pilgrim under Crater",01 Cosmic Layer,01 Lunar Readiness Base,Crater Gantry Loop,Diver,pilot,sub_locations/01_cosmic_layer/01_lunar_readiness_base/02_crater_gantry_loop/11_mirek_dubwater_pilgrim_under_crater.glb
01_cosmic_layer.01_lunar_readiness_base.02.12,"Kiva Brightlock, Specialist from Crater",01 Cosmic Layer,01 Lunar Readiness Base,Crater Gantry Loop,Cartographer,navigator,sub_locations/01_cosmic_layer/01_lunar_readiness_base/02_crater_gantry_loop/12_kiva_brightlock_specialist_from_crater.glb
01_cosmic_layer.01_lunar_readiness_base.02.13,"Vela Brightlock, Medic near Crater",01 Cosmic Layer,01 Lunar Readiness Base,Crater Gantry Loop,Specialist,pilot,sub_locations/01_cosmic_layer/01_lunar_readiness_base/02_crater_gantry_loop/13_vela_brightlock_medic_near_crater.glb
01_cosmic_layer.01_lunar_readiness_base.02.14,"Luma Rootborne, Runner from Crater",01 Cosmic Layer,01 Lunar Readiness Base,Crater Gantry Loop,Courier,medic,sub_locations/01_cosmic_layer/01_lunar_readiness_base/02_crater_gantry_loop/14_luma_rootborne_runner_from_crater.glb
01_cosmic_layer.01_lunar_readiness_base.02.15,"Keir Ashvein, Diver from Crater",01 Cosmic Layer,01 Lunar Readiness Base,Crater Gantry Loop,Guide,scout,sub_locations/01_cosmic_layer/01_lunar_readiness_base/02_crater_gantry_loop/15_keir_ashvein_diver_from_crater.glb
01_cosmic_layer.01_lunar_readiness_base.02.16,"Edda Stormhush, Engineer from Crater",01 Cosmic Layer,01 Lunar Readiness Base,Crater Gantry Loop,Courier,mystic,sub_locations/01_cosmic_layer/01_lunar_readiness_base/02_crater_gantry_loop/16_edda_stormhush_engineer_from_crater.glb
01_cosmic_layer.01_lunar_readiness_base.02.17,"Dax Mossguard, Custodian from Crater",01 Cosmic Layer,01 Lunar Readiness Base,Crater Gantry Loop,Archivist,worker,sub_locations/01_cosmic_layer/01_lunar_readiness_base/02_crater_gantry_loop/17_dax_mossguard_custodian_from_crater.glb
01_cosmic_layer.01_lunar_readiness_base.02.18,"Astra Wayfare, Cartographer at Crater",01 Cosmic Layer,01 Lunar Readiness Base,Crater Gantry Loop,Herald,medic,sub_locations/01_cosmic_layer/01_lunar_readiness_base/02_crater_gantry_loop/18_astra_wayfare_cartographer_at_crater.glb
01_cosmic_layer.01_lunar_readiness_base.02.19,"Tovin Signalborn, Mechanist of Crater",01 Cosmic Layer,01 Lunar Readiness Base,Crater Gantry Loop,Tamer,tamer,sub_locations/01_cosmic_layer/01_lunar_readiness_base/02_crater_gantry_loop/19_tovin_signalborn_mechanist_of_crater.glb
01_cosmic_layer.01_lunar_readiness_base.02.20,"Lio Voidrill, Watcher near Crater",01 Cosmic Layer,01 Lunar Readiness Base,Crater Gantry Loop,Responder,archivist,sub_locations/01_cosmic_layer/01_lunar_readiness_base/02_crater_gantry_loop/20_lio_voidrill_watcher_near_crater.glb
01_cosmic_layer.01_lunar_readiness_base.03.01,"Tamsin Gearmantle, Oracle of Surface",01 Cosmic Layer,01 Lunar Readiness Base,Surface Launch Gantries,Guide,medic,sub_locations/01_cosmic_layer/01_lunar_readiness_base/03_surface_launch_gantries/01_tamsin_gearmantle_oracle_of_surface.glb
01_cosmic_layer.01_lunar_readiness_base.03.02,"Varren Echohand, Operator near Surface",01 Cosmic Layer,01 Lunar Readiness Base,Surface Launch Gantries,Navigator,engineer,sub_locations/01_cosmic_layer/01_lunar_readiness_base/03_surface_launch_gantries/02_varren_echohand_operator_near_surface.glb
